Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763085042.647336,22058,2,1
1,NewOrder,1763085042.648670,22942,15,1
1,NewOrder,1763085042.648677,23790,1,1
1,NewOrder,1763085042.648689,25008,5,1
5,StockLevel,1763085042.648792,21591,4,1
2,Payment,1763085042.666329,5295,7,1
2,Payment,1763085042.666335,5275,10,1
1,NewOrder,1763085042.666340,12223,0,1
5,StockLevel,1763085042.666345,4053,13,1
2,Payment,1763085042.666347,5276,6,1
3,OrderStatus,1763085042.669404,1144,2,1
2,Payment,1763085042.670390,5355,4,1
2,Payment,1763085042.670406,5376,13,1
2,Payment,1763085042.670551,5130,2,1
1,NewOrder,1763085042.671622,10690,10,1
1,NewOrder,1763085042.671623,15311,15,1
2,Payment,1763085042.671640,10668,6,1
1,NewOrder,1763085042.671640,12842,14,1
1,NewOrder,1763085042.671644,10706,7,1
4,Delivery,1763085042.671662,19766,12,1
2,Payment,1763085042.671687,10618,8,1
2,Payment,1763085042.671743,10593,11,1
1,NewOrder,1763085042.672478,9886,1,1
1,NewOrder,1763085042.673685,8664,9,1
2,Payment,1763085042.673712,9872,5,1
2,Payment,1763085042.675692,6643,2,1
2,Payment,1763085042.675755,6980,4,1
2,Payment,1763085042.675792,6523,13,1
1,NewOrder,1763085042.678573,8298,0,1
1,NewOrder,1763085042.679967,9369,3,1
2,Payment,1763085042.682317,6866,8,1
1,NewOrder,1763085042.682322,11731,6,1
2,Payment,1763085042.682325,4597,10,1
1,NewOrder,1763085042.682328,9115,13,1
2,Payment,1763085042.682346,6824,2,1
1,NewOrder,1763085042.682349,11707,11,1
3,OrderStatus,1763085042.682358,1635,7,1
4,Delivery,1763085042.682358,62761,9,1
2,Payment,1763085042.682369,6950,1,1
1,NewOrder,1763085042.682745,11518,4,1
1,NewOrder,1763085042.683594,11259,5,1
1,NewOrder,1763085042.684010,12381,7,1
2,Payment,1763085042.684490,4822,14,1
1,NewOrder,1763085042.686880,11779,0,1
1,NewOrder,1763085042.686939,9450,10,1
2,Payment,1763085042.686945,4486,15,1
2,Payment,1763085042.689180,5700,2,1
1,NewOrder,1763085042.689193,18152,8,1
5,StockLevel,1763085042.689319,3845,14,1
1,NewOrder,1763085042.689329,33594,1,1
1,NewOrder,1763085042.689346,9313,3,1
1,NewOrder,1763085042.691437,33737,12,1
1,NewOrder,1763085042.691442,33580,15,1
2,Payment,1763085042.691454,4933,13,1
3,OrderStatus,1763085042.693174,3286,14,1
2,Payment,1763085042.694062,4585,6,1
2,Payment,1763085042.694067,4591,11,1
1,NewOrder,1763085042.694272,30722,4,1
1,NewOrder,1763085042.694862,30153,5,1
2,Payment,1763085042.694885,12451,2,1
2,Payment,1763085042.696400,22014,10,1
1,NewOrder,1763085042.696401,28596,13,1
1,NewOrder,1763085042.696403,28603,7,1
2,Payment,1763085042.696466,10880,14,1
4,Delivery,1763085042.698655,48389,6,1
2,Payment,1763085042.698666,19737,11,1
1,NewOrder,1763085042.698669,26302,3,1
1,NewOrder,1763085042.698671,26307,0,1
1,NewOrder,1763085042.707343,18012,2,1
2,Payment,1763085042.707354,13611,8,1
1,NewOrder,1763085042.707356,17664,14,1
1,NewOrder,1763085042.718411,26706,11,1
2,Payment,1763085042.718421,6617,10,1
1,NewOrder,1763085042.720974,24150,8,1
2,Payment,1763085042.722932,26632,1,1
2,Payment,1763085042.724980,24584,3,1
5,StockLevel,1763085042.724989,3771,0,1
2,Payment,1763085042.725006,24567,4,1
1,NewOrder,1763085042.725008,22057,13,1
1,NewOrder,1763085042.725017,22005,7,1
2,Payment,1763085042.725023,24539,5,1
2,Payment,1763085042.725028,24516,15,1
1,NewOrder,1763085042.725031,20087,14,1
2,Payment,1763085042.725042,24516,10,1
2,Payment,1763085042.725182,24360,12,1
2,Payment,1763085042.725364,24539,2,1
2,Payment,1763085042.728768,21004,0,1
2,Payment,1763085042.745132,9310,11,1
3,OrderStatus,1763085042.745135,1170,9,1
1,NewOrder,1763085042.745135,12898,14,1
1,NewOrder,1763085042.745135,9427,8,1
2,Payment,1763085042.746312,8094,9,1
1,NewOrder,1763085042.747029,7505,7,1
5,StockLevel,1763085042.747052,3842,6,1
1,NewOrder,1763085042.747074,15899,13,1
1,NewOrder,1763085042.749550,11171,12,1
1,NewOrder,1763085042.749555,18947,15,1
5,StockLevel,1763085042.749564,5191,10,1
2,Payment,1763085042.749574,11085,3,1
2,Payment,1763085042.749574,4912,1,1
1,NewOrder,1763085042.749576,17093,5,1
2,Payment,1763085042.749585,8478,4,1
2,Payment,1763085042.749780,8248,0,1
2,Payment,1763085042.749911,8162,2,1
2,Payment,1763085042.750903,9755,6,1
1,NewOrder,1763085042.754417,8520,9,1
1,NewOrder,1763085042.754452,11160,11,1
1,NewOrder,1763085042.754495,8493,1,1
2,Payment,1763085042.754539,6111,7,1
2,Payment,1763085042.754568,6067,8,1
2,Payment,1763085042.754764,5877,10,1
2,Payment,1763085042.758037,4902,0,1
5,StockLevel,1763085042.758042,1878,14,1
1,NewOrder,1763085042.758073,10432,4,1
4,Delivery,1763085042.758077,39871,2,1
2,Payment,1763085042.759936,5589,14,1
1,NewOrder,1763085042.760644,19840,8,1
1,NewOrder,1763085042.760645,19838,10,1
2,Payment,1763085042.760659,5086,7,1
2,Payment,1763085042.760669,4873,6,1
2,Payment,1763085042.760669,4898,3,1
1,NewOrder,1763085042.760728,30224,12,1
3,OrderStatus,1763085042.762947,837,9,1
1,NewOrder,1763085042.762950,28000,0,1
2,Payment,1763085042.762983,8161,13,1
1,NewOrder,1763085042.763005,35048,1,1
2,Payment,1763085042.763790,5343,9,1
2,Payment,1763085042.765532,5613,14,1
2,Payment,1763085042.765548,5598,6,1
1,NewOrder,1763085042.765577,30849,3,1
2,Payment,1763085042.765615,9112,11,1
2,Payment,1763085042.765755,7938,7,1
2,Payment,1763085042.766678,24276,5,1
2,Payment,1763085042.768512,22476,15,1
1,NewOrder,1763085042.768514,27472,4,1
3,OrderStatus,1763085042.769142,22248,9,1
1,NewOrder,1763085042.771154,24782,6,1
1,NewOrder,1763085042.771155,26796,13,1
2,Payment,1763085042.771158,19820,14,1
2,Payment,1763085042.773700,17278,7,1
5,StockLevel,1763085042.774735,19471,11,1
